temperatura,humedad
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
20.6,34
21,63
21,63
21,63
21,63
21.4,90
21.4,90
21.4,90
21.4,90
21.4,90
21.8,93
21.8,93
21.8,93
21.8,93
21.8,93
22.6,98
22.6,98
22.6,98
22.6,98
22.6,98
22.6,98
22.6,98
22.6,98
22.6,98
22.6,98
22.6,98
23,98
23,98
23,98
23,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.4,98
23.8,98
23.8,98
23.8,98
23.8,98
24.1,98
24.1,98
24.1,98
24.1,98
24.1,98
25.3,98
25.3,98
25.3,98
25.3,98
26.2,98
26.2,98
26.2,98
26.2,98
27,98
27,98
27,98
27,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.5,98
28.9,98
28.9,98
28.9,98
28.9,98
28.9,98
28.9,98
28.9,98
28.9,98
28.9,98
28.9,98
